duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate
416,udp,smtp,SF,52004,42760,0,2,0,10,3,1,4,0,1,6,8,0,0,0,0,0,63,13,0.095,0.096,0.318,0.162,0.992,0.168,0.476,26,142,0.812,0.56,0.962,0.46,0.272,0.769,0.482,0.159
477,tcp,private,REJ,14507,10995,0,0,2,19,1,1,6,1,0,3,10,0,1,0,0,1,237,145,0.647,0.329,0.548,0.418,0.945,0.936,0.625,183,88,0.89,0.246,0.037,0.046,0.664,0.506,0.283,0.028
226,udp,smtp,S1,23587,20695,1,0,1,2,1,1,4,0,0,11,4,0,0,0,0,0,115,44,0.019,0.11,0.943,0.087,0.991,0.182,0.721,233,65,0.657,0.119,0.079,0.544,0.503,0.954,0.2,0.507
17,udp,smtp,SF,32780,18538,1,2,1,10,2,0,6,0,0,9,6,1,3,0,0,1,322,365,0.183,0.176,0.733,0.87,0.903,0.921,0.854,23,181,0.807,0.607,0.208,0.339,0.295,0.72,0.184,0.443
157,tcp,ftp_data,S1,47523,36163,0,2,2,17,0,0,16,1,0,14,4,1,3,0,0,0,440,203,0.948,0.929,0.471,0.19,0.177,0.711,0.104,189,123,0.849,0.485,0.248,0.617,0.685,0.507,0.708,0.696
58,icmp,ftp_data,SF,31416,20074,0,3,3,13,2,0,7,1,1,4,9,2,3,0,0,1,170,61,0.71,0.263,0.026,0.738,0.985,0.497,0.737,231,161,0.55,0.551,0.843,0.897,0.904,0.416,0.706,0.007
394,tcp,ftp_data,S1,57706,27971,0,0,3,22,3,0,9,1,0,13,9,0,1,0,0,1,444,482,0.134,1.0,0.681,0.055,0.141,0.098,0.714,241,135,0.021,0.46,0.904,0.824,0.525,0.814,0.218,0.089
320,udp,private,S0,44123,34143,0,3,1,23,5,0,9,1,0,15,4,1,2,0,0,0,471,495,0.856,0.95,0.933,0.007,0.261,0.781,0.087,6,53,0.365,0.973,0.597,0.858,0.746,0.929,0.775,0.52
110,icmp,private,RSTR,49389,32126,0,3,2,25,2,0,11,1,1,14,3,0,3,0,0,1,389,52,0.295,0.424,0.276,0.178,0.997,0.595,0.466,246,20,0.432,0.412,0.058,0.852,0.601,0.192,0.697,0.235
419,tcp,ftp_data,RSTR,34801,41697,0,1,3,21,3,1,14,0,1,0,3,2,1,0,0,0,291,311,0.025,0.075,0.159,0.332,0.702,0.142,0.38,10,213,0.685,0.825,0.142,0.529,0.352,0.192,0.541,0.821
103,udp,http,S1,37234,48404,1,3,3,18,2,1,9,0,1,7,6,2,0,0,0,1,388,155,0.007,0.081,0.193,0.13,0.838,0.068,0.025,53,75,0.02,0.009,0.76,0.757,0.543,0.01,0.061,0.291
318,tcp,smtp,S1,57781,16528,1,2,2,10,2,0,1,1,1,2,8,2,2,0,0,1,437,367,0.309,0.817,0.291,0.756,0.776,0.605,0.826,119,33,0.476,0.636,0.912,0.35,0.568,0.409,0.437,0.645
335,tcp,private,REJ,49015,3566,1,2,0,10,1,1,11,1,0,11,9,0,1,0,0,0,392,6,0.069,0.118,0.211,0.716,0.673,0.144,0.575,75,197,0.885,0.332,0.148,0.323,0.146,0.427,0.158,0.74
318,icmp,eco_i,S1,44588,15590,1,2,2,3,3,1,10,1,1,11,6,0,2,0,0,0,23,312,0.005,0.028,0.14,0.559,0.94,0.18,0.795,158,62,0.024,0.482,0.822,0.214,0.669,0.454,0.384,0.805
457,tcp,smtp,S0,20889,26320,1,3,0,16,3,0,4,0,1,3,6,1,0,0,0,1,184,331,0.959,0.444,0.963,0.305,0.319,0.529,0.933,24,102,0.125,0.967,0.492,0.197,0.642,0.888,0.509,0.79
240,tcp,smtp,S1,27151,38616,0,3,2,18,3,0,14,1,0,10,9,1,0,0,0,0,129,414,0.633,0.659,0.147,0.01,0.713,0.939,0.924,15,26,0.67,0.087,0.501,0.75,0.086,0.879,0.472,0.893
312,icmp,ftp_data,SF,27633,24341,0,0,2,24,5,0,2,1,1,11,8,0,3,0,0,1,424,397,0.52,0.129,0.588,0.71,0.275,0.424,0.782,184,176,0.203,0.083,0.708,0.258,0.089,0.71,0.91,0.022
197,tcp,smtp,S0,22813,1594,0,3,2,9,3,0,7,0,0,4,5,1,2,0,0,1,63,463,0.575,0.171,0.215,0.44,0.172,0.443,0.138,100,220,0.367,0.897,0.826,0.913,0.624,0.296,0.822,0.21
81,tcp,ftp_data,SF,28187,6174,0,3,3,20,3,0,10,0,0,3,8,1,0,0,0,1,191,30,0.711,0.788,0.498,0.892,0.812,0.292,0.929,59,200,0.254,0.378,0.194,0.301,0.825,0.704,0.953,0.66
209,tcp,private,S0,24011,1662,0,1,0,10,1,1,1,0,0,12,7,1,2,0,0,0,331,329,0.808,0.866,0.276,0.736,0.747,0.763,0.53,81,146,0.9,0.347,0.867,0.107,0.077,0.404,0.875,0.571
260,tcp,http,RSTR,51824,15155,0,0,3,20,4,1,19,1,1,6,8,2,1,0,0,0,433,376,0.463,0.688,0.359,0.785,0.31,0.502,0.342,248,48,0.729,0.12,0.552,0.018,0.988,0.866,0.372,0.125
109,udp,ftp_data,S0,21339,33188,0,2,0,25,1,1,15,1,0,14,0,1,2,0,0,0,476,48,0.343,0.921,0.464,0.804,0.029,0.943,0.233,227,149,0.694,0.053,0.402,0.256,0.433,0.779,0.477,0.869
438,tcp,private,SF,16018,30337,0,3,3,12,1,1,10,1,0,5,10,2,0,0,0,1,284,296,0.287,0.595,0.367,0.292,0.011,0.502,0.854,253,253,0.463,0.456,0.667,0.333,0.623,0.175,0.658,0.795
394,udp,eco_i,S1,32761,21089,1,2,1,4,1,1,0,1,1,3,6,2,3,0,0,1,192,425,0.068,0.112,0.655,0.886,0.763,0.119,0.065,83,93,0.28,0.477,0.724,0.608,0.177,0.294,0.429,0.226
12,udp,domain_u,REJ,32850,33823,0,2,3,28,0,1,13,1,0,7,10,2,1,0,0,0,33,281,0.973,0.229,0.474,0.187,0.904,0.709,0.334,195,165,0.704,0.113,0.282,0.171,0.401,0.771,0.443,0.933
218,udp,http,S1,14146,38876,1,3,2,0,3,1,7,1,1,14,1,0,2,0,0,0,319,427,0.052,0.09,0.144,0.279,0.668,0.157,0.773,114,212,0.187,0.219,0.97,0.381,0.572,0.428,0.67,0.409
99,icmp,ftp_data,S0,51594,10474,0,0,0,20,4,0,12,1,0,13,10,1,4,0,0,1,6,475,0.742,0.242,0.617,0.218,0.151,0.302,0.78,181,43,0.933,0.88,0.571,0.511,0.717,0.252,0.788,0.041
478,icmp,private,S0,3008,11955,0,1,2,24,4,0,9,0,0,6,0,1,3,0,0,0,493,349,0.95,0.97,0.812,0.206,0.038,0.988,0.681,140,231,0.007,0.953,0.933,0.603,0.608,0.422,0.585,0.228
30,icmp,ftp_data,S0,33190,10270,1,3,0,1,0,1,13,0,0,2,2,1,3,0,0,1,328,490,0.117,0.039,0.53,0.44,0.61,0.02,0.396,248,41,0.559,0.885,0.584,0.089,0.863,0.883,0.436,0.19
304,icmp,smtp,S1,39821,8241,0,2,3,3,4,0,6,0,0,9,2,2,1,0,0,1,168,109,0.036,0.101,0.53,0.628,0.201,0.938,0.159,191,218,0.661,0.809,0.962,0.157,0.079,0.902,0.466,0.228
230,tcp,smtp,S1,43580,18364,0,0,2,3,2,0,9,0,1,12,2,2,1,0,0,1,442,35,0.363,0.274,0.56,0.342,0.216,0.743,0.284,164,90,0.102,0.263,0.612,0.668,0.87,0.416,0.266,0.511
149,tcp,ftp_data,SF,23726,39365,0,0,0,16,5,0,8,0,0,2,0,1,0,0,0,1,278,490,0.523,0.416,0.728,0.318,0.883,0.225,0.376,84,239,0.632,0.621,0.938,0.9,0.796,0.135,0.205,0.308
339,udp,ftp_data,SF,25880,12210,1,0,0,8,0,0,4,1,1,9,1,1,2,0,0,0,429,85,0.164,0.847,0.319,0.881,0.108,0.909,0.74,30,93,0.149,0.003,0.588,0.114,0.565,0.346,0.424,0.511
483,udp,private,S1,30915,7950,0,3,3,20,3,1,5,1,0,1,10,1,3,0,0,1,102,228,0.414,0.188,0.717,0.075,0.526,0.868,0.656,40,47,0.044,0.641,0.59,0.72,0.994,0.463,0.319,0.296
379,tcp,smtp,RSTR,59500,20725,1,2,3,14,2,0,3,0,1,1,8,2,1,0,0,1,156,50,0.026,0.942,0.137,0.078,0.904,0.87,0.827,174,10,0.058,0.704,0.453,0.897,0.234,0.802,0.897,0.557
292,udp,private,S0,44667,19643,0,3,1,1,2,1,12,1,0,5,5,0,3,0,0,1,494,366,0.965,0.873,0.986,0.848,0.542,0.691,0.399,16,53,0.699,0.494,0.733,0.59,0.852,0.914,0.813,0.444
187,tcp,eco_i,REJ,32779,37826,0,2,1,27,3,1,8,1,1,19,8,0,1,0,0,0,210,135,0.461,0.443,0.861,0.903,0.377,0.865,0.883,192,157,0.261,0.951,0.845,0.834,0.489,0.304,0.786,0.241
81,tcp,private,S0,14779,18819,0,2,2,5,2,1,11,0,1,9,6,2,2,0,0,1,318,312,0.955,0.874,0.737,0.198,0.103,0.417,0.094,87,143,0.551,0.928,0.41,0.623,0.089,0.295,0.907,0.492
139,udp,private,RSTR,12323,56650,1,3,3,19,0,0,12,0,1,2,6,0,3,0,0,1,95,80,0.387,0.844,0.384,0.614,0.93,0.512,0.85,213,242,0.416,0.978,0.667,0.931,0.235,0.684,0.092,0.639
209,tcp,private,S0,1786,33052,1,1,1,13,5,1,15,0,0,3,0,2,0,0,0,1,488,408,0.834,0.867,0.034,0.877,0.366,0.765,0.631,147,225,0.196,0.197,0.924,0.62,0.207,0.17,0.888,0.857
48,tcp,ftp_data,S0,58198,59488,1,2,3,25,5,1,4,1,0,15,0,1,0,0,0,1,405,169,0.102,0.018,0.531,0.135,0.997,0.122,0.208,242,152,0.027,0.364,0.707,0.54,0.895,0.683,0.816,0.104
281,icmp,private,S1,50246,58423,1,3,0,22,1,1,5,0,1,0,8,0,4,0,0,1,338,308,0.937,0.968,0.313,0.758,0.282,0.72,0.571,190,62,0.881,0.914,0.947,0.746,0.335,0.063,0.372,0.811
33,icmp,eco_i,RSTR,37495,54136,1,2,0,17,2,0,20,1,1,8,3,1,4,0,0,0,502,327,0.622,0.997,0.688,0.666,0.766,0.766,0.255,178,97,0.066,0.372,0.627,0.215,0.727,0.167,0.499,0.159
217,icmp,private,S0,6851,33805,1,3,2,12,0,0,14,1,0,10,0,2,1,0,0,1,323,339,0.817,0.97,0.388,0.115,0.191,0.839,0.876,125,109,0.36,0.124,0.797,0.529,0.048,0.637,0.685,0.457
175,udp,ftp_data,S0,5129,11466,1,1,3,14,4,0,0,1,0,6,10,0,1,0,0,1,356,144,0.395,0.469,0.721,0.729,0.878,0.689,0.476,209,214,0.42,0.205,0.331,0.586,0.405,0.906,0.337,0.398
310,udp,http,S0,48647,10229,1,2,3,11,3,1,2,1,1,1,1,0,1,0,0,1,327,29,0.019,0.09,0.397,0.686,0.795,0.009,0.78,219,90,0.616,0.202,0.362,0.442,0.473,0.886,0.071,0.945
64,udp,domain_u,REJ,27530,39188,1,1,2,9,2,1,12,0,0,10,1,0,4,0,0,0,15,53,0.09,0.018,0.883,0.383,0.733,0.17,0.335,85,31,0.128,0.772,0.166,0.182,0.575,0.844,0.421,0.163
230,tcp,smtp,SF,53695,17070,0,2,0,14,3,0,10,1,0,14,5,2,4,0,0,1,292,378,0.971,0.246,0.019,0.685,0.825,0.289,0.693,197,165,0.033,0.996,0.705,0.012,0.121,0.271,0.124,0.033
39,tcp,ftp_data,S1,21264,39343,1,3,0,17,1,1,20,1,1,10,5,1,4,0,0,0,384,181,0.074,0.462,0.019,0.286,0.901,0.91,0.89,98,241,0.88,0.278,0.46,0.683,0.741,0.136,0.796,0.603
442,icmp,http,SF,674,19789,1,1,3,22,3,1,8,1,1,12,3,0,0,0,0,1,235,246,0.07,0.094,0.778,0.418,0.882,0.138,0.907,42,183,0.319,0.326,0.8,0.515,0.87,0.674,0.351,0.95
13,tcp,ftp_data,S0,16684,11968,1,1,2,14,4,0,10,1,1,13,9,1,1,0,0,1,43,366,0.186,0.521,0.903,0.146,0.002,0.655,0.077,232,41,0.681,0.88,0.823,0.461,0.1,0.371,0.196,0.548
459,udp,ftp_data,SF,10025,48979,1,0,1,7,2,0,11,0,1,15,5,2,3,0,0,1,243,368,0.989,0.125,0.083,0.157,0.221,0.187,0.534,59,28,0.999,0.175,0.245,0.775,0.683,0.357,0.766,0.049
412,udp,smtp,RSTR,22205,1491,1,2,0,21,2,1,20,1,0,5,10,1,0,0,0,1,246,382,0.133,0.642,0.503,0.068,0.727,0.88,0.269,235,86,0.227,0.928,0.463,0.126,0.449,0.287,0.145,0.391
377,tcp,private,REJ,46500,52147,0,3,3,10,3,1,0,0,0,0,8,1,1,0,0,0,293,377,0.792,0.385,0.421,0.308,0.958,0.685,0.656,186,98,0.842,0.276,0.236,0.9,0.471,0.023,0.577,0.099
345,icmp,private,S0,5128,32379,1,0,3,15,2,0,8,0,0,10,7,2,0,0,0,1,376,496,0.137,0.059,0.579,0.253,0.034,0.652,0.595,29,11,0.449,0.791,0.286,0.376,0.617,0.875,0.695,0.436
433,tcp,eco_i,REJ,28362,50595,0,1,1,27,0,1,17,1,1,11,10,2,1,0,0,0,72,6,0.466,0.867,0.8,0.732,0.76,0.661,0.072,35,96,0.493,0.035,0.156,0.868,0.559,0.657,0.104,0.31
276,udp,ftp_data,S1,41088,3047,1,3,1,28,2,0,6,0,1,8,9,0,1,0,0,0,420,89,0.17,0.992,0.406,0.846,0.621,0.357,0.958,153,210,0.486,0.03,0.804,0.509,0.042,0.403,0.075,0.23
365,tcp,private,S0,42525,9505,0,3,1,2,1,0,7,0,0,8,4,0,4,0,0,0,366,429,0.911,0.957,0.532,0.538,0.652,0.553,0.965,207,155,0.922,0.172,0.782,0.39,0.887,0.121,0.193,0.909
140,icmp,ftp_data,REJ,11471,58890,0,2,1,4,5,0,6,1,1,1,0,0,3,0,0,0,130,487,0.719,0.379,0.458,0.367,0.166,0.75,0.71,71,67,0.77,0.658,0.075,0.938,0.88,0.867,0.557,0.167
12,tcp,smtp,SF,14205,29734,1,2,1,24,2,0,8,1,0,2,5,2,4,0,0,1,411,289,0.14,0.032,0.601,0.99,0.744,0.459,0.44,78,66,0.153,0.238,0.661,0.243,0.828,0.632,0.17,0.573
29,udp,ftp_data,S0,48521,1153,1,2,3,7,5,1,5,0,1,1,9,2,1,0,0,0,37,1,0.04,0.123,0.901,0.964,0.921,0.043,0.998,227,117,0.535,0.049,0.144,0.314,0.175,0.09,0.444,0.44
293,tcp,ftp_data,S0,23474,5819,1,0,3,21,2,0,14,1,1,15,7,0,2,0,0,1,465,87,0.095,0.632,0.191,0.906,0.25,0.445,0.672,17,45,0.726,0.406,0.436,0.388,0.842,0.04,0.886,0.376
63,icmp,domain_u,S1,43008,21231,1,2,2,21,2,1,11,0,0,14,10,1,2,0,0,1,285,117,0.018,0.034,0.119,0.349,0.666,0.134,0.375,252,254,0.426,0.229,0.808,0.251,0.86,0.583,0.786,0.011
369,tcp,ftp_data,S1,41596,14132,0,0,3,2,3,0,9,1,1,12,1,1,3,0,0,1,369,132,0.32,0.94,0.37,0.636,0.178,0.631,0.858,14,37,0.402,0.588,0.762,0.964,0.008,0.527,0.168,0.925
144,udp,ftp_data,S1,58577,31347,1,1,2,18,0,1,8,1,1,14,4,2,1,0,0,1,358,231,0.111,0.973,0.521,0.048,0.577,0.775,0.626,31,215,0.992,0.36,0.076,0.99,0.799,0.307,0.305,0.069
132,icmp,domain_u,S0,36853,1152,1,2,3,15,3,1,12,0,0,12,8,0,0,0,0,0,222,209,0.015,0.11,0.733,0.211,0.962,0.303,0.615,213,52,0.162,0.355,0.284,0.651,0.029,0.057,0.03,0.367
134,udp,http,SF,47684,7261,0,3,0,23,4,1,5,0,0,1,6,0,0,0,0,0,449,408,0.063,0.001,0.982,0.24,0.786,0.175,0.765,146,150,0.043,0.19,0.585,0.541,0.097,0.085,0.996,0.481
188,tcp,ftp_data,S1,15029,14021,0,2,2,25,0,1,9,1,0,6,0,0,0,0,0,0,420,269,0.224,0.986,0.7,0.541,0.668,0.788,0.56,53,164,0.943,0.028,0.217,0.685,0.412,0.921,0.43,0.142
469,icmp,private,S0,40120,44023,1,2,0,20,4,0,4,0,1,5,5,1,2,0,0,1,394,396,0.829,0.831,0.6,0.094,0.481,0.464,0.712,181,7,0.178,0.682,0.454,0.164,0.075,0.582,0.855,0.694
156,udp,ftp_data,S0,9072,5264,1,1,3,15,3,1,14,0,0,0,5,1,3,0,0,0,10,372,0.944,0.502,0.267,0.907,0.548,0.968,0.588,81,94,0.681,0.866,0.952,0.081,0.391,0.505,0.374,0.201
202,udp,ftp_data,S0,40115,11103,0,3,2,4,3,0,5,0,0,13,0,1,3,0,0,1,314,351,0.162,0.049,0.232,0.632,0.624,0.196,0.829,56,200,0.938,0.161,0.737,0.259,0.922,0.221,0.274,0.373
242,tcp,smtp,RSTR,38328,26493,1,1,3,4,2,0,12,0,0,15,7,1,2,0,0,1,77,84,0.736,0.701,0.071,0.424,0.263,0.871,0.54,6,81,0.029,0.531,0.924,0.601,0.12,0.405,0.097,0.509
189,icmp,ftp_data,RSTR,34356,5825,0,3,1,13,5,0,14,1,1,6,10,1,0,0,0,1,375,441,0.201,0.742,0.47,0.303,0.541,0.711,0.568,22,139,0.925,0.817,0.461,0.152,0.325,0.269,0.896,0.417
472,udp,domain_u,REJ,59206,42092,0,1,3,18,0,1,9,1,0,14,0,1,2,0,0,1,287,406,0.026,0.096,0.326,0.668,0.879,0.169,0.953,200,182,0.996,0.564,0.581,0.191,0.198,0.308,0.868,0.758
435,udp,ftp_data,S1,11720,12207,0,2,3,6,5,0,15,0,0,13,2,1,4,0,0,0,334,392,0.812,0.103,0.327,0.505,0.941,0.691,0.752,201,38,0.228,0.329,0.079,0.411,0.386,0.878,0.103,0.467
62,tcp,http,RSTR,52159,4403,0,2,3,11,3,0,19,0,1,6,5,1,0,0,0,1,54,264,0.077,0.015,0.374,0.648,0.039,0.3,0.997,42,51,0.291,0.98,0.465,0.157,0.82,0.644,0.368,0.43
475,tcp,smtp,SF,51329,34932,1,3,0,19,5,0,12,1,1,0,10,2,2,0,0,1,351,12,0.91,0.202,0.598,0.339,0.573,0.466,0.336,253,224,0.98,0.727,0.073,0.559,0.19,0.284,0.02,0.708
149,tcp,eco_i,S0,40161,34350,0,2,0,19,0,0,11,0,0,0,2,1,2,0,0,0,97,507,0.394,0.081,0.268,0.867,0.524,0.609,0.545,251,216,0.182,0.0,0.657,0.902,0.74,0.793,0.632,0.291
230,icmp,smtp,SF,14530,15253,1,0,0,16,3,0,7,0,0,13,8,1,3,0,0,1,231,239,0.24,0.398,0.737,0.396,0.697,0.483,0.563,133,108,0.009,0.889,0.682,0.309,0.466,0.985,0.911,0.485
79,icmp,eco_i,S1,50614,674,1,0,3,28,4,0,7,0,1,14,10,1,4,0,0,0,452,508,0.6,0.09,0.629,0.75,0.554,0.837,0.254,47,67,0.836,0.277,0.465,0.487,0.868,0.093,0.531,0.794
12,icmp,http,S0,34843,40329,1,3,0,25,0,0,17,0,0,16,6,2,4,0,0,1,406,413,0.339,0.582,0.831,0.324,0.132,0.883,0.17,124,7,0.728,0.433,0.345,0.171,0.081,0.209,0.237,0.969
497,udp,smtp,SF,37588,53712,1,2,0,26,4,0,17,0,1,11,4,1,2,0,0,1,391,108,0.456,0.809,0.458,0.836,0.482,0.522,0.52,151,187,0.498,0.601,0.13,0.19,0.013,0.413,0.892,0.888
228,tcp,private,S1,43438,52515,0,3,1,1,3,1,9,1,1,6,1,2,1,0,0,1,486,150,0.066,0.143,0.985,0.818,0.807,0.021,0.935,132,2,0.561,0.126,0.747,0.09,0.815,0.003,0.565,0.86
54,tcp,domain_u,REJ,28471,56123,1,3,1,9,1,1,0,0,1,2,1,0,0,0,0,1,490,498,0.083,0.096,0.86,0.511,0.973,0.078,0.41,114,217,0.121,0.402,0.145,0.214,0.261,0.751,0.898,0.284
302,tcp,smtp,REJ,40679,4347,0,1,3,13,4,0,4,1,0,10,7,2,3,0,0,1,176,424,0.692,0.154,0.326,0.909,0.217,0.806,0.867,103,235,0.606,0.678,0.425,0.301,0.775,0.252,0.373,0.001
96,icmp,smtp,S0,48156,48228,1,1,0,10,5,1,13,0,1,9,4,2,0,0,0,1,72,95,0.055,0.127,0.539,0.284,0.956,0.047,0.915,218,152,0.338,0.498,0.722,0.645,0.385,0.975,0.032,0.527
176,icmp,private,REJ,17357,36449,0,1,2,17,0,1,9,1,0,16,2,2,0,0,0,0,302,16,0.211,0.754,0.536,0.188,0.365,0.764,0.543,216,25,0.02,0.676,0.224,0.568,0.863,0.896,0.536,0.004
327,icmp,private,S0,44695,57342,1,2,2,15,3,1,2,1,0,10,8,1,3,0,0,0,502,335,0.908,0.868,0.093,0.142,0.074,0.841,0.792,156,80,0.177,0.287,0.04,0.139,0.24,0.95,0.845,0.35
401,icmp,eco_i,S0,19696,30045,0,2,1,15,3,1,12,1,1,0,9,2,4,0,0,0,147,182,0.103,0.07,0.981,0.951,0.677,0.036,0.054,108,148,0.365,0.847,0.2,0.865,0.542,0.615,0.186,0.528
113,icmp,ftp_data,SF,51448,26608,1,2,0,6,2,0,11,0,1,13,5,2,2,0,0,1,503,290,0.057,0.592,0.214,0.708,0.294,0.602,0.48,76,251,0.959,0.918,0.715,0.72,0.002,0.134,0.974,0.789
89,udp,private,S1,40948,29663,0,1,0,13,4,0,12,0,1,13,2,2,0,0,0,0,362,490,0.108,0.04,0.795,0.407,0.356,0.535,0.603,7,229,0.914,0.382,0.534,0.23,0.665,0.409,0.985,0.566
142,udp,smtp,S1,5464,7130,1,3,2,25,5,0,7,1,0,6,2,0,2,0,0,1,316,298,0.863,0.732,0.052,0.105,0.497,0.628,0.253,97,242,0.185,0.167,0.919,0.998,0.138,0.058,0.988,0.296
209,udp,private,S0,17693,58284,1,1,3,20,4,1,7,1,1,11,8,0,1,0,0,1,396,395,0.976,0.968,0.865,0.131,0.455,0.858,0.837,154,47,0.548,0.562,0.099,0.594,0.871,0.388,0.239,0.732
421,tcp,private,S0,26651,31897,1,0,3,18,0,1,8,1,1,15,1,0,1,0,0,1,206,411,0.449,0.647,0.428,0.459,0.297,0.87,0.647,88,158,0.221,0.885,0.634,0.152,0.862,0.226,0.603,0.937
419,udp,http,S0,53268,25975,1,0,1,7,4,1,8,1,1,12,4,2,1,0,0,0,311,89,0.05,0.051,0.443,0.823,0.946,0.19,0.368,51,93,0.751,0.653,0.298,0.318,0.563,0.553,0.907,0.428
287,tcp,domain_u,S0,37515,18768,1,2,0,7,5,1,5,1,0,14,2,1,0,0,0,0,330,286,0.045,0.058,0.162,0.783,0.97,0.192,0.854,181,42,0.394,0.064,0.958,0.031,0.326,0.58,0.733,0.445
177,icmp,private,S0,19560,34143,1,3,3,6,0,1,7,0,0,6,2,0,2,0,0,0,461,345,0.852,1.0,0.67,0.243,0.484,0.983,0.014,184,254,0.101,0.623,0.235,0.265,0.25,0.919,0.237,0.148
108,udp,eco_i,S1,13871,59981,1,1,3,0,4,1,6,0,1,4,4,2,4,0,0,1,427,233,0.923,0.177,0.651,0.203,0.175,0.975,0.44,65,40,0.401,0.755,0.02,0.835,0.8,0.69,0.514,0.863
385,tcp,ftp_data,S1,7940,20254,0,3,2,8,3,0,0,0,1,1,5,2,1,0,0,1,135,114,0.155,0.233,0.848,0.052,0.752,0.173,0.206,152,16,0.839,0.936,0.547,0.047,0.456,0.84,0.753,0.236
108,tcp,ftp_data,REJ,35617,47470,0,1,3,11,2,0,14,0,1,0,4,1,1,0,0,1,207,3,0.965,0.254,0.101,0.073,0.789,0.543,0.205,186,90,0.909,0.651,0.893,0.203,0.96,0.317,0.632,0.895
46,tcp,eco_i,RSTR,50907,1793,1,3,3,5,4,0,10,0,1,7,7,0,0,0,0,0,304,17,0.706,0.376,0.381,0.641,0.867,0.93,0.472,68,37,0.333,1.0,0.496,0.35,0.086,0.52,0.99,0.718
411,icmp,private,S0,53298,21250,1,3,1,24,3,1,11,1,1,9,0,0,3,0,0,0,356,331,0.925,0.956,0.048,0.83,0.322,0.973,0.602,232,36,0.895,0.311,0.011,0.471,0.731,0.258,0.226,0.135
423,icmp,ftp_data,S0,12623,9987,0,0,1,5,5,0,9,0,1,9,1,1,4,0,0,1,232,58,0.496,0.186,0.203,0.651,0.714,0.615,0.131,203,95,0.201,0.928,0.549,0.393,0.098,0.589,0.167,0.016
379,icmp,ftp_data,SF,3695,59949,1,2,1,16,4,0,2,1,0,12,1,0,3,0,0,0,344,113,0.14,0.164,0.216,0.717,0.426,0.887,0.427,174,31,0.401,0.147,0.099,0.303,0.621,0.829,0.408,0.313
243,icmp,domain_u,S1,20027,19508,1,1,2,24,2,0,7,0,0,13,3,2,2,0,0,1,10,290,0.441,0.816,0.284,0.089,0.97,0.546,0.748,167,4,0.048,0.485,0.877,0.918,0.609,0.972,0.07,0.844
470,tcp,eco_i,S0,34979,27137,0,2,1,15,0,0,6,1,1,6,4,1,1,0,0,1,485,461,0.06,0.088,0.301,0.943,0.843,0.51,0.501,118,71,0.225,0.313,0.455,0.638,0.203,0.359,0.14,0.083
493,icmp,ftp_data,REJ,31138,21877,0,3,3,20,2,0,14,0,0,11,9,1,1,0,0,1,501,354,0.754,0.01,0.254,0.93,0.105,0.979,0.844,125,229,0.167,0.409,0.23,0.974,0.138,0.935,0.3,0.161
276,udp,smtp,RSTR,12683,3207,0,3,0,3,2,1,11,0,0,11,5,0,4,0,0,1,107,57,0.08,0.105,0.303,0.377,0.672,0.191,0.492,97,186,0.618,0.684,0.837,0.275,0.123,0.185,0.602,0.334
256,tcp,smtp,RSTR,29497,10720,1,2,0,19,5,1,3,1,1,6,6,2,1,0,0,1,402,503,0.025,0.132,0.238,0.473,0.883,0.133,0.088,157,52,0.142,0.459,0.503,0.585,0.074,0.403,0.912,0.964
171,tcp,http,S1,6617,44620,0,3,3,23,3,1,8,1,0,10,9,1,0,0,0,1,20,365,0.049,0.32,0.382,0.791,0.336,0.64,0.753,165,101,0.454,0.72,0.112,0.136,0.737,0.642,0.426,0.717
304,udp,smtp,SF,4601,17122,0,3,3,5,4,0,6,0,0,2,9,0,0,0,0,1,305,334,0.996,0.329,0.601,0.49,0.362,0.153,0.793,104,128,0.107,0.984,0.6,0.392,0.606,0.435,0.966,0.331
57,tcp,eco_i,REJ,43783,30124,0,0,3,21,0,1,11,0,1,12,3,0,0,0,0,0,8,96,0.121,0.054,0.757,0.894,0.741,0.038,0.853,145,15,0.324,0.316,0.679,0.6,0.909,0.324,0.679,0.952
145,icmp,smtp,SF,29785,29498,0,0,1,16,5,0,6,0,0,0,3,1,3,0,0,1,237,138,0.431,0.169,0.138,0.146,0.835,0.589,0.464,216,81,0.772,0.207,0.114,0.473,0.057,0.683,0.763,0.234
366,udp,ftp_data,S0,15883,51143,0,0,0,5,5,1,13,0,0,7,3,0,3,0,0,1,405,247,0.435,0.04,0.354,0.917,0.749,0.924,0.817,88,168,0.122,0.221,0.701,0.198,0.078,0.425,0.435,0.901
